ID|Transcription|Normalized transcription
LJ028-0001|The Seven Wonders of the Ancient World. By Edgar J. Banks. Chapter 2. The Walls of Babylon.|The Seven Wonders of the Ancient World. By Edgar J. Banks. Chapter two. The Walls of Babylon.
LJ028-0002|In the old city of Damascus you climb to the hump of a tall fleet dromedary.|In the old city of Damascus you climb to the hump of a tall fleet dromedary.
LJ028-0003|With guides and guards about you, you ride through the covered bazaars crowded with dark-faced Arabs in strange costumes,|With guides and guards about you, you ride through the covered bazaars crowded with dark-faced Arabs in strange costumes,
LJ028-0004|"and along the narrow winding lane which was once called the ""Street Called Straight."""|"and along the narrow winding lane which was once called the ""Street Called Straight."""
LJ028-0005|Leaving the city by the eastern gate, and passing a small village or two,|Leaving the city by the eastern gate, and passing a small village or two,
LJ028-0006|you ascend the hill to the plateau, and before you, as far as the eye can reach, stretches the great Arabian Desert.|you ascend the hill to the plateau, and before you, as far as the eye can reach, stretches the great Arabian Desert.
LJ028-0007|With mingling fear and wonder at the mystery always lying beyond the desert horizon,|With mingling fear and wonder at the mystery always lying beyond the desert horizon,
LJ028-0008|you tap gently with your heel upon the shoulder of the dromedary to urge her on.|you tap gently with your heel upon the shoulder of the dromedary to urge her on.
LJ028-0009|At first, paying little heed to you, she hesitates and glances anxiously about the desert as if in search of an enemy.|At first, paying little heed to you, she hesitates and glances anxiously about the desert as if in search of an enemy.
LJ028-0010|Now and then she reaches down to graze the thorny argool along the way.|Now and then she reaches down to graze the thorny argool along the way.
LJ028-0011|As the taps upon her shoulder are repeated, she stretches out her long neck, and with long strides makes for the eastern horizon;|As the taps upon her shoulder are repeated, she stretches out her long neck, and with long strides makes for the eastern horizon;
LJ028-0012|she realizes that she is bound on the long journey across the desert. Hour after hour she bears you over the hard monotonous plain.|she realizes that she is bound on the long journey across the desert. Hour after hour she bears you over the hard monotonous plain.
LJ028-0013|The Damascus mosques and their minarets sink beneath the western sky.|The Damascus mosques and their minarets sink beneath the western sky.
LJ028-0014|The desert about you shows no signs of life;|The desert about you shows no signs of life;
LJ028-0015|only a tall column of whirling sand, rearing its head until it is lost in the blue above, moves majestically along.|only a tall column of whirling sand, rearing its head until it is lost in the blue above, moves majestically along.
LJ028-0016|In the distance your eyes detect a beautiful lake with shores fringed with trees,|In the distance your eyes detect a beautiful lake with shores fringed with trees,
LJ028-0017|but soon the phantom lake vanishes, while others, still farther beyond, appear and vanish in rapid succession.|but soon the phantom lake vanishes, while others, still farther beyond, appear and vanish in rapid succession.
LJ028-0018|Like a great ball of fire the sun sinks in the west.|Like a great ball of fire the sun sinks in the west.
LJ028-0019|The stars come out one by one and shine brighter than elsewhere as if to light you on your way.|The stars come out one by one and shine brighter than elsewhere as if to light you on your way.
LJ028-0020|Late at night the weary dromedary kneels, and on the ground, close beside her, you lie down to sleep.|Late at night the weary dromedary kneels, and on the ground, close beside her, you lie down to sleep.
LJ028-0021|Again, long before the stars have been scattered by the morning sun, you are on your way.|Again, long before the stars have been scattered by the morning sun, you are on your way.
LJ028-0022|Day after day you travel on, scorched by the heat of noon-day, shivering in the chill winds of the night.|Day after day you travel on, scorched by the heat of noon-day, shivering in the chill winds of the night.
LJ028-0023|Two weeks pass, and at last you stand on the eastern edge of the plateau|Two weeks pass, and at last you stand on the eastern edge of the plateau
LJ028-0024|gazing down upon the great Euphrates winding along the valley beneath.|gazing down upon the great Euphrates winding along the valley beneath.
LJ028-0025|You have crossed the Arabian Desert, the first stage of the long journey to the walls of Babylon.|You have crossed the Arabian Desert, the first stage of the long journey to the walls of Babylon.
LJ028-0026|Here in the valley the water is sweet and the food abundant.|Here in the valley the water is sweet and the food abundant.
LJ028-0027|For ten days you follow down the river, through little villages and black tent encampments, among scenes of strange Arab life which never lose their charm.|For ten days you follow down the river, through little villages and black tent encampments, among scenes of strange Arab life which never lose their charm.
LJ028-0028|Everywhere the valley is dotted with the mounds of buried cities carefully guarding the secrets of the centuries of long ago.|Everywhere the valley is dotted with the mounds of buried cities carefully guarding the secrets of the centuries of long ago.
LJ028-0029|At last you see before you a mound rising like a mountain from the level plain.|At last you see before you a mound rising like a mountain from the level plain.
